initial_id,x0,y0,h,physical_warmup,burn_in_steps,paper_burn_in_threshold,corrected_error,signgda_control_error,corrected_error_over_h3,control_error_over_h2,interaction_ratio,gradient_l1
2,0.3,-0.4,0.00625,0.2,32,14.643856189774723,1.595176221769322e-06,4.725094131725487e-05,6.533841804367141,1.2096240977217245,3.1701382591165075,0.579343908914661
2,0.3,-0.4,0.005,0.2,40,15.287712379549449,8.194148508507718e-07,3.030033216859758e-05,6.555318806806173,1.212013286743903,3.170429545296223,0.5792822300998031
2,0.3,-0.4,0.004,0.2,50,15.931568569324174,4.206131070867456e-07,1.9422630428867707e-05,6.5720797982304,1.2139144018042318,3.170644246618753,0.5792364756170703
2,0.3,-0.4,0.003125,0.2,64,16.643856189774723,2.0100190604468747e-07,1.1870803528030168e-05,6.586430457272317,1.2155702812702889,3.170819051438634,0.5791989989943763
2,0.3,-0.4,0.0025,0.2,80,17.28771237954945,1.0307026317728701e-07,7.604679227553684e-06,6.596496843346368,1.2167486764085893,3.1709365969130507,0.5791736639318186
3,-0.25,-0.35,0.0125,0.2,16,12.643856189774723,9.515958792064458e-06,0.0002702588824317424,4.872170901537001,1.729656847563151,4.157806043065082,0.4159672472766153
3,-0.25,-0.35,0.01,0.2,20,13.287712379549449,4.864660238543133e-06,0.00017289895687611306,4.864660238543133,1.7289895687611305,4.158700647320494,0.4155442409246766
3,-0.25,-0.35,0.008,0.2,25,13.931568569324176,2.4849906642338196e-06,0.00011062381531251238,4.853497391081679,1.7284971142580061,4.159396898906917,0.41520866103961224
3,-0.25,-0.35,0.00625,0.2,32,14.643856189774723,1.1818088182370585e-06,6.750379358026954e-05,4.840688919498991,1.7280971156548999,4.159994443331041,0.4149168721002969
3,-0.25,-0.35,0.005,0.2,40,15.287712379549449,6.037357180375316e-07,4.319573530023404e-05,4.8298857443002525,1.7278294120093616,4.1604158089337675,0.414709385479581
3,-0.25,-0.35,0.004,0.2,50,15.931568569324174,3.084969651455701e-07,2.764201819599884e-05,4.820265080399533,1.7276261372499275,4.160750240297815,0.4145438921714285
3,-0.25,-0.35,0.003125,0.2,64,16.643856189774723,1.468244015141054e-07,1.686968949426724e-05,4.811141988814204,1.727456204212965,4.161041284705574,0.41439940730448177
3,-0.25,-0.35,0.0025,0.2,80,17.28771237954945,7.506604499246357e-08,1.0795870835799351e-05,4.804226879517668,1.7273393337278962,4.16124843545551,0.41429636839398637
